Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advmod,amod,appos,ccomp,compound,conj,cop,csubj,csubj:pass,dep,det,discourse,dislocated,expl:pv,fixed,flat:foreign,iobj,nmod,nmod:poss,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:lmod,obl:prep,obl:tmod,orphan,parataxis,root,vocative,xcomp
de_hdt-ud-test,18459,0,4556,,,,,,,,,,,,,,,,4556.0,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-train,153035,0,38820,,,,,,,,,,,,,,,,38820.0,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-dev,18434,0,4484,,,,,,,,,,,,,,,,4484.0,,,,,,,,,,,,,,,,,,,,,,,,
sga_dipsgg-ud-test,64,0,9,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,4.0,,,,,,
la_circse-ud-test,1263,0,34,,,,,1.0,1.0,3.0,,,,,,,,,5.0,,,,,,,3.0,,5.0,,,,3.0,5.0,,2.0,2.0,,1.0,,,1.0,1.0,1.0
cs_pud-ud-test,1000,0,196,,,1.0,1.0,,,1.0,,1.0,,4.0,,1.0,,,84.0,,,,1.0,,,16.0,,1.0,,2.0,,13.0,40.0,,28.0,,,,,,2.0,,
cu_proiel-ud-train,18327,0,770,,56.0,,1.0,,5.0,217.0,11.0,,,29.0,3.0,,,,383.0,,10.0,,1.0,,,7.0,,1.0,,14.0,,4.0,13.0,,2.0,,,,,1.0,,,12.0
cu_proiel-ud-test,2096,0,92,,10.0,,,,,33.0,1.0,1.0,,6.0,1.0,,,,31.0,,1.0,,,,,2.0,,,,2.0,,,1.0,,,,,,1.0,,1.0,,1.0
cu_proiel-ud-dev,2205,0,81,,5.0,,,,,33.0,4.0,1.0,,2.0,2.0,,,,31.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0
la_proiel-ud-test,1260,0,159,,4.0,,1.0,,2.0,64.0,1.0,4.0,,5.0,,,,,61.0,,,,,,,3.0,,,,9.0,,2.0,1.0,,,,,,,,1.0,,1.0
la_proiel-ud-dev,1233,0,140,,6.0,,,,1.0,50.0,2.0,4.0,,4.0,,,,,57.0,,,,,,,,,,,8.0,,,1.0,,,,,,,1.0,2.0,,4.0
la_proiel-ud-train,16196,0,1542,,53.0,,13.0,,8.0,540.0,15.0,26.0,,62.0,,,3.0,,658.0,,6.0,,4.0,,,41.0,,3.0,,56.0,,5.0,10.0,,1.0,,,,7.0,,7.0,,24.0
grc_proiel-ud-test,1047,0,206,,5.0,,10.0,,,23.0,,1.0,,3.0,4.0,,,,147.0,,,,,,,6.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0
grc_proiel-ud-train,15016,0,2389,,53.0,,10.0,,4.0,240.0,5.0,3.0,,32.0,2.0,,,,1903.0,,,,2.0,,,82.0,,,1.0,25.0,,2.0,6.0,,8.0,,,,,,,,11.0
grc_proiel-ud-dev,1019,0,242,,1.0,,3.0,,,21.0,,,,3.0,2.0,,,,189.0,,,,,,,9.0,,,,,,1.0,1.0,,1.0,,,,1.0,,,,10.0
nds_lsdc-ud-train,500,0,21,,,,,,,3.0,,1.0,,,,,,,10.0,,,,,,1.0,,,4.0,,,,1.0,1.0,,,,,,,,,,
nds_lsdc-ud-test,500,0,9,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,,,,2.0,2.0,,,,,,,,,1.0,
cs_cltt-ud-dev,316,0,78,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,3.0,,2.0,34.0,,6.0,,,,,,,,
cs_cltt-ud-train,467,0,37,,,,,,,,,,,2.0,,,,,14.0,,,,,,,1.0,,,,2.0,,,12.0,,6.0,,,,,,,,
cs_cltt-ud-test,338,0,144,,,,,,,,,,,2.0,,,,,67.0,,,,,,,6.0,,1.0,,1.0,,10.0,48.0,,9.0,,,,,,,,
grc_ptnk-ud-train,727,0,1252,,,34.0,5.0,,,25.0,1.0,6.0,,13.0,6.0,,,,550.0,,1.0,,,,152.0,305.0,,19.0,1.0,4.0,,9.0,111.0,,,,,,1.0,3.0,1.0,,5.0
grc_ptnk-ud-dev,439,0,622,,,24.0,4.0,,,27.0,,1.0,,26.0,,,,,273.0,,3.0,,,,46.0,134.0,,8.0,2.0,11.0,,6.0,54.0,,,,,,1.0,1.0,,,1.0
grc_ptnk-ud-test,410,0,745,,,12.0,8.0,,,16.0,5.0,5.0,,8.0,,,,,373.0,,2.0,,,,77.0,166.0,,7.0,,2.0,,6.0,57.0,,,,,,,1.0,,,
got_proiel-ud-dev,985,0,54,,,,,,,5.0,,,,2.0,,,,,32.0,,,,,,,3.0,,,,4.0,,3.0,3.0,,2.0,,,,,,,,
got_proiel-ud-train,3387,0,421,,18.0,,1.0,,,72.0,1.0,1.0,,10.0,,,,,244.0,,,,,,,18.0,,1.0,,24.0,,1.0,14.0,,11.0,,,,,,1.0,,4.0
got_proiel-ud-test,1029,0,72,,4.0,,,,,9.0,,,,2.0,,,,,42.0,,,1.0,,,,2.0,,,,4.0,,1.0,4.0,,2.0,,,,,,,,1.0
cs_pdt-ud-test,10146,0,1643,1.0,,8.0,2.0,,,26.0,2.0,1.0,,27.0,,1.0,,6.0,673.0,,,,,,1.0,24.0,,16.0,1.0,36.0,,88.0,399.0,,284.0,,,,2.0,1.0,40.0,,4.0
cs_pdt-ud-dev,9270,0,1514,3.0,,6.0,1.0,,,24.0,4.0,2.0,,21.0,,1.0,1.0,3.0,588.0,,,,,,3.0,31.0,,13.0,2.0,39.0,,93.0,339.0,,301.0,,,,1.0,,33.0,,5.0
cs_pdt-ud-train,68491,0,10317,14.0,9.0,46.0,14.0,,,137.0,19.0,19.0,1.0,172.0,,3.0,1.0,49.0,3987.0,2.0,,,,,15.0,210.0,,108.0,2.0,264.0,1.0,671.0,2362.0,,1971.0,,,,12.0,7.0,199.0,,22.0
sga_dipwbg-ud-test,34,0,3,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
orv_torot-ud-test,2955,0,2,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-train,20480,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
cs_cac-ud-dev,603,0,60,,,,,,,,,,,,,,,,37.0,,,,,,,1.0,,,,1.0,,1.0,12.0,,8.0,,,,,,,,
cs_cac-ud-train,23478,0,4714,,2.0,17.0,4.0,,,48.0,5.0,6.0,,96.0,,,,29.0,2073.0,1.0,,,,2.0,2.0,72.0,,58.0,2.0,150.0,,237.0,1140.0,,636.0,,,,6.0,2.0,107.0,,19.0
cs_cac-ud-test,628,0,81,,,,,,,1.0,,,,1.0,,1.0,,,34.0,,,,,,,1.0,,3.0,,2.0,,9.0,16.0,,11.0,,,,,,1.0,,1.0
