Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:quote,advcl:relcl,advcl:tcl,advmod,advmod:mmod,advmod:tmod,amod,appos,appos:trans,aux,aux:q,case,cc,ccomp,ccomp:obj,ccomp:obl,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,csubj:outer,dep,dep:comp,dep:der,dep:infl,dep:repeat,det,det:poss,discourse,dislocated,dislocated:obj,expl,expl:poss,expl:pv,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:inst,obl:lmod,obl:pmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:rep,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds
sl_ssj-ud-test,1282,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,11.0,,,,,,,,,1.0,,,,,,2.0,,,
hu_szeged-ud-dev,441,0,775,2.0,,,,,,,,,,32.0,,,,1.0,,,,1.0,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,,3.0,83.0,,,,,,,12.0,,,,142.0,,,,,,130.0,,286.0,,,,,,,,,4.0,1.0,,,,,15.0,,,
hu_szeged-ud-test,449,0,665,5.0,,5.0,,,,,,,,22.0,,,,,,,1.0,1.0,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,1.0,56.0,,,,,,,7.0,,,,139.0,,,,,,109.0,,256.0,,,,,,,,,2.0,2.0,,,,,7.0,,1.0,
hu_szeged-ud-train,910,0,1174,5.0,,7.0,,,,,,,,34.0,,,,1.0,,,3.0,3.0,,,,,,,94.0,,1.0,,,,,,,,,,,,,,,,,,4.0,9.0,7.0,,3.0,85.0,,,,,,,12.0,,,,258.0,,,,,,195.0,,417.0,,,,,,,,,1.0,7.0,,,,,28.0,,,
xav_xdt-ud-test,171,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
gun_dooley-ud-test,1046,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,15.0,,,,,,8.0,,21.0,,,,,,,,,,,,5.0,,,,,,
tr_pud-ud-test,1000,0,2309,88.0,,95.0,,,,,,,25.0,27.0,,1.0,,26.0,,64.0,,,,32.0,31.0,,,,126.0,50.0,44.0,,,,,,,,,,,1.0,,,,,,22.0,,48.0,,,55.0,,,,,,,,,,266.0,,362.0,,,,,,336.0,,539.0,,,,,,,,,3.0,,,,,,26.0,,42.0,
fi_ood-ud-test,2122,0,127,3.0,,17.0,,,,3.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,7.0,,,,,,,,,,9.0,,11.0,,5.0,,,,19.0,,34.0,,,,,,,,,1.0,,,,,,4.0,,4.0,
de_hdt-ud-test,18459,0,1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-train,153035,0,12899,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,12891.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,
de_hdt-ud-dev,18434,0,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,394,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,387.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,
pl_pdb-ud-dev,2215,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sah_yktdt-ud-test,299,0,52,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,34.0,,,,,,4.0,,2.0,,,,,,,,,,,,,,,5.0,,,
es_ancora-ud-train,14287,0,221,,,,,,,,,,,1.0,,,,,,1.0,,,,5.0,,,,,1.0,,,,,1.0,,,,,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-test,1721,0,11,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,314,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,,,,,,,,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
hr_set-ud-test,1136,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,109,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,100.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,
qpm_philotis-ud-train,980,0,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,2.0,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,,10.0,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-dev,635,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,59.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
qpm_philotis-ud-test,635,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,494,,,,,,,,,,3.0,,,,,14.0,,9.0,,,,21.0,,,,,8.0,,3.0,,,,,,,,,,,,,,,,,15.0,,,,,48.0,,,,,,,,,,14.0,48.0,56.0,,,,,,197.0,,21.0,,,,,,,,14.0,,,,,,,23.0,,,
tr_atis-ud-train,4274,0,4454,2.0,,,,,,,,,17.0,,,,,50.0,,43.0,,,,285.0,,,,,58.0,,29.0,,,1.0,,,,,,,,1.0,,,,,2.0,268.0,,,,,685.0,,,,,,,,,,82.0,283.0,520.0,,,,1.0,3.0,1625.0,,257.0,,,,,,,,99.0,,5.0,,,,,137.0,,1.0,
tr_atis-ud-test,586,0,625,2.0,,,,,,,,,,,,,,13.0,,6.0,,,,20.0,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,49.0,,,,,64.0,,,,,,,,,,14.0,74.0,73.0,,,,,,216.0,,21.0,,,,,,,,18.0,,1.0,,,,,49.0,,,
pt_pud-ud-test,1000,0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,219,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,94.0,,70.0,,,,,,16.0,,35.0,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,67,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,
tr_kenet-ud-dev,1646,0,2180,33.0,,38.0,,,,,,,16.0,1.0,,,,,,107.0,,,,138.0,,,,,87.0,,11.0,,,,,,,,,,1.0,,,,,,1.0,8.0,,37.0,,,192.0,,,,,,,,,,,,306.0,,,,,3.0,546.0,,571.0,,,,,,,,,,16.0,,,,,58.0,8.0,2.0,
tr_kenet-ud-test,1643,0,2218,27.0,,41.0,,,,,,,11.0,,,,,1.0,,146.0,,,,264.0,,,,,75.0,,2.0,,,,,,,,,,2.0,,,,,,,5.0,,,25.0,,176.0,,,,,,,,,,,,261.0,,,,,,561.0,,552.0,,,,,,,,,,14.0,,,,,41.0,13.0,1.0,
tr_kenet-ud-train,15398,0,17123,182.0,,221.0,,,,,,,221.0,18.0,,20.0,,20.0,,621.0,,,,588.0,,,,,820.0,,85.0,,,1.0,,,,,,,16.0,3.0,,,,,,68.0,,142.0,27.0,,1921.0,,,,,,,,,,,,2691.0,,,,,29.0,3871.0,,4338.0,,,,,,,,,5.0,77.0,,,,3.0,1035.0,54.0,46.0,
sms_giellagas-ud-test,230,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,9.0,,3.0,,,,,,3.0,,,,,,,,,1.0,2.0,,
sms_giellagas-ud-train,20,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,552,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
ess_sli-ud-test,309,0,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,35,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,9.0,,4.0,,,,9.0,,1.0,,,,,,2.0,,,,,,,,,5.0,,,
