Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,aux,aux:neg,ccomp,ccomp:obj,ccomp:quote,compound:svc,conj,cop,csubj,dep:infl,nsubj,obj,parataxis,parataxis:rep,root,vocative,xcomp
gun_dooley-ud-test,1046,0,21,,,6.0,,,,,,,,,,1.0,,,,1.0,8.0,5.0,,
ess_sli-ud-test,309,0,19,,,,,,,,,,,,,,19.0,,,,,,,
jaa_jarawara-ud-test,20,0,1,,,,,,,,,,,,,,,,1.0,,,,,
apu_ufpa-ud-test,161,0,3,,,,,,,,,,,,1.0,,,,,,,2.0,,
mdf_jr-ud-test,454,0,10,,,1.0,,,,1.0,,,,2.0,,,,,,1.0,,5.0,,
bor_bdt-ud-test,881,0,6,,,,,,,1.0,,,,1.0,,,,,2.0,,,2.0,,
myv_jr-ud-test,921,0,3,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,
myv_jr-ud-train,1217,0,19,,1.0,,,,,2.0,,,,7.0,,,,,,1.0,,8.0,,
quc_iu-ud-test,1435,0,22,,,1.0,,,,1.0,,,,,,,,,,,,19.0,,1.0
gun_thomas-ud-test,98,0,7,1.0,,,,,,,,,1.0,1.0,,,,,,,,4.0,,
tpn_tudet-ud-test,581,0,1,,,,,,,,,,,,,,,,,,,1.0,,
wbp_ufal-ud-test,55,0,6,,,,,6.0,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,48,,,6.0,,,,1.0,,,,5.0,,4.0,,,,6.0,,21.0,,5.0
ka_glc-ud-test,151,0,2,,,,,,,,,,,,,,,,,,,2.0,,
azz_itml-ud-test,1260,0,11,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,7.0,,
eme_tudet-ud-test,913,0,10,,,,2.0,,,,,,,1.0,,,,1.0,,,,4.0,2.0,
ab_abnc-ud-test,263,0,12,,1.0,,,,,,1.0,4.0,,2.0,,,,1.0,,1.0,,2.0,,
