Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,amod,appos,aux,aux:pass,case,cc,ccomp,clf,compound,compound:lvc,conj,cop,csubj,dep,dep:agr,det,det:poss,discourse,dislocated,expl,expl:pv,fixed,flat,flat:name,iobj,mark,nmod,nmod:cau,nmod:lmod,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:pass,nummod,obj,obl,obl:arg,obl:own,obl:pmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp
tr_pud-ud-test,1000,0,8,,,,,,,,,,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,
es_gsd-ud-test,426,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,
es_gsd-ud-train,14187,0,10,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,,1.0,,1.0,,,,,,,,,
de_hdt-ud-test,18459,0,16,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,1.0,,,,,,,,,8.0,,,,,,,,,,,
de_hdt-ud-train,153035,0,81,,1.0,,,,,,,,,,,,,,1.0,,,,,23.0,,,,,,,,,,,2.0,,,,,,,,,26.0,9.0,19.0,,,,,,,,,
de_hdt-ud-dev,18434,0,23,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,
hi_hdtb-ud-train,13306,0,4921,,146.0,38.0,66.0,,19.0,,571.0,347.0,191.0,,102.0,,66.0,,99.0,181.0,,,,1.0,,,3.0,,,,,,98.0,4.0,479.0,,,,,1530.0,,6.0,,218.0,79.0,,,,,,,,617.0,1.0,59.0
hi_hdtb-ud-dev,1659,0,635,,23.0,5.0,9.0,,2.0,,66.0,34.0,24.0,,10.0,,7.0,,13.0,31.0,,,,,,,,,,,,,17.0,,65.0,,,,,217.0,,1.0,,28.0,10.0,,,,,,,,65.0,1.0,7.0
hi_hdtb-ud-test,1684,0,632,,22.0,1.0,5.0,,4.0,,70.0,34.0,27.0,,21.0,,6.0,,13.0,26.0,,,,,,,,,,,,,25.0,,81.0,,,,,163.0,,1.0,,32.0,14.0,,,,,,,,82.0,,5.0
es_ancora-ud-train,14287,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,38.0,,,,3.0,1.0,3.0,,,,,,,,,
es_ancora-ud-test,1721,0,10,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,,,,,,,,,
