Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,case,cc,ccomp,ccomp:reported,compound,conj,conj:expl,csubj,dep,dislocated,flat,flat:foreign,flat:name,iobj,list,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,orphan,parataxis,root,vocative,xcomp
be_hse-ud-train,22853,0,1614,1.0,,1.0,,306.0,,,2.0,,8.0,84.0,,,,,,2.0,7.0,42.0,13.0,657.0,,,174.0,2.0,21.0,176.0,6.0,,,23.0,86.0,2.0,1.0
be_hse-ud-dev,1301,0,95,,,,,14.0,,,,,,2.0,,,,,,,,2.0,1.0,48.0,,,18.0,1.0,,6.0,,,,1.0,2.0,,
be_hse-ud-test,1077,0,95,,,,,14.0,,,,,,3.0,,,,,,,,1.0,,44.0,,,17.0,,1.0,9.0,1.0,,,,5.0,,
cs_pud-ud-test,1000,0,120,1.0,,,,4.0,,,,,,7.0,,,,,33.0,,,2.0,,52.0,,,10.0,2.0,1.0,5.0,,3.0,,,,,
vi_tuecl-ud-test,100,0,5,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,1.0,
hy_bsut-ud-train,1226,0,19,,,,,,,,,,,,,,,,,,,2.0,,11.0,,4.0,,,1.0,,,,,1.0,,,
hy_bsut-ud-test,595,0,17,,,,,,,,,,,1.0,,,,,,,,,,7.0,,5.0,4.0,,,,,,,,,,
hy_bsut-ud-dev,479,0,9,,,,,,,,,,,1.0,,,,,,,,,,5.0,,1.0,,,1.0,1.0,,,,,,,
ru_taiga-ud-train,16045,0,524,2.0,,,,57.0,,,,,16.0,36.0,,,,,,1.0,6.0,6.0,13.0,157.0,,,79.0,1.0,8.0,93.0,3.0,,2.0,10.0,27.0,5.0,2.0
ru_taiga-ud-dev,946,0,9,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,,,,,2.0,,
ru_taiga-ud-test,881,0,81,,,,,8.0,,,,,,6.0,,,,2.0,,1.0,,2.0,,29.0,,,14.0,,2.0,9.0,,,,5.0,2.0,1.0,
hy_armtdp-ud-train,1974,0,53,,,,,1.0,,,,,,4.0,,,,,,,,,,23.0,2.0,13.0,6.0,,2.0,2.0,,,,,,,
hy_armtdp-ud-dev,249,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ru_poetry-ud-dev,789,0,3,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,
ru_poetry-ud-train,3569,0,5,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,
cs_fictree-ud-dev,1309,0,6,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,,1.0,,,,,,,
cs_fictree-ud-train,10160,0,11,,,,,1.0,,,,,,1.0,,,,,,,,,,5.0,,,,,2.0,2.0,,,,,,,
cs_fictree-ud-test,1291,0,3,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,
la_udante-ud-train,926,0,133,,1.0,2.0,,,,,,1.0,,8.0,1.0,1.0,,,2.0,,,,,45.0,,,25.0,3.0,14.0,16.0,2.0,8.0,2.0,,2.0,,
la_udante-ud-test,419,0,2,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
la_udante-ud-dev,376,0,15,,,,,,,,,,,3.0,,,,,1.0,,,,,7.0,,,1.0,,1.0,,2.0,,,,,,
hyw_armtdp-ud-test,680,0,14,,,,,,,,,,,3.0,,,,,,,,,,2.0,1.0,3.0,2.0,,,3.0,,,,,,,
hyw_armtdp-ud-dev,694,0,8,,,,,,,,,,,,,,,,,,,,,2.0,1.0,4.0,,,,1.0,,,,,,,
hyw_armtdp-ud-train,5282,0,163,1.0,2.0,,1.0,5.0,,,,,1.0,7.0,,,,,1.0,,,,,67.0,4.0,41.0,14.0,,3.0,10.0,3.0,,1.0,1.0,1.0,,
cs_cac-ud-dev,603,0,149,,,,,,,,,,,33.0,,,,,,,,,,88.0,,,7.0,,2.0,18.0,,1.0,,,,,
cs_cac-ud-train,23478,0,1619,1.0,,1.0,12.0,5.0,1.0,1.0,,,,96.0,,,13.0,,1.0,10.0,,3.0,,1272.0,,,87.0,3.0,21.0,62.0,,6.0,5.0,,19.0,,
cs_cac-ud-test,628,0,16,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,1.0,,,,,
cs_poetry-ud-test,297,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
