Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmpr,advcl:quote,advcl:relcl,advmod:q,amod,amod:flat,appos,aux,aux:pass,case,case:loc,ccomp,ccomp:obj,ccomp:quote,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,fixed,flat,flat:foreign,flat:frac,flat:name,flat:range,iobj,iobj:agent,list,nmod,nmod:arg,nmod:flat,nmod:npmod,nmod:poss,nmod:quote,nsubj,nsubj:caus,nsubj:pass,nummod,nummod:flat,nummod:gov,obj,obj:lo,obj:po,obj:ro,obl,obl:agent,obl:arg,obl:cmpr,obl:lmod,orphan,parataxis,parataxis:insert,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred
pl_pdb-ud-test,2215,0,298,15.0,3.0,4.0,,,,,50.0,2.0,7.0,,1.0,,,1.0,,,,,,17.0,1.0,1.0,,,3.0,2.0,,2.0,,,2.0,,,,,,6.0,,,23.0,13.0,1.0,,,,64.0,,1.0,8.0,1.0,5.0,25.0,,,,13.0,3.0,5.0,4.0,,,,,,,14.0,,1.0,
pl_pdb-ud-train,17722,0,1987,76.0,14.0,14.0,4.0,,,,255.0,7.0,23.0,1.0,3.0,,,9.0,2.0,,,,,177.0,3.0,1.0,,,28.0,5.0,6.0,20.0,,,5.0,8.0,2.0,,,,69.0,,,170.0,81.0,6.0,,9.0,,343.0,,6.0,76.0,1.0,53.0,208.0,,,,94.0,7.0,69.0,35.0,,,,4.0,7.0,,74.0,5.0,6.0,1.0
pl_pdb-ud-dev,2215,0,297,10.0,,2.0,,,,,42.0,1.0,3.0,,,,,,,,,,,32.0,,1.0,,,7.0,1.0,,1.0,,,,2.0,8.0,,,,10.0,,,23.0,8.0,2.0,,2.0,,49.0,,,5.0,,8.0,33.0,,,,16.0,,11.0,3.0,,,,,2.0,,13.0,1.0,,1.0
qpm_philotis-ud-train,980,0,35,,,1.0,,,,,10.0,,,,,,,,,,,,,9.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,6.0,,,
qpm_philotis-ud-dev,635,0,26,,,,,,,,9.0,,,,,,,1.0,,,,,,4.0,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
qpm_philotis-ud-test,635,0,10,,,1.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
hy_bsut-ud-train,1226,0,5072,10.0,10.0,9.0,,,1.0,,3.0,,92.0,,,4.0,,7.0,,,14.0,140.0,13.0,439.0,,1.0,,97.0,,,,,5.0,6.0,17.0,20.0,,,1.0,4.0,25.0,,22.0,262.0,,,114.0,1036.0,,496.0,1.0,91.0,,,,649.0,,,,1141.0,21.0,,,,20.0,60.0,,,,198.0,,43.0,
hy_bsut-ud-test,595,0,2460,4.0,5.0,6.0,,,,,2.0,,22.0,,,3.0,,4.0,,,8.0,84.0,1.0,251.0,,1.0,1.0,42.0,,,,,4.0,3.0,8.0,1.0,,,,,15.0,,,69.0,,,67.0,580.0,,240.0,,20.0,,,,361.0,,,,529.0,5.0,,,,9.0,17.0,,,,65.0,,33.0,
hy_bsut-ud-dev,479,0,2664,1.0,1.0,6.0,,,1.0,,1.0,,20.0,,,7.0,1.0,2.0,,,7.0,74.0,3.0,260.0,,1.0,,59.0,,,,,2.0,,9.0,1.0,,,,4.0,23.0,,3.0,75.0,,,111.0,640.0,,267.0,,51.0,,,,393.0,,,,513.0,13.0,,,,3.0,21.0,,,,72.0,,19.0,
hsb_ufal-ud-test,623,0,18,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,1.0,,,,3.0,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,9457,23.0,16.0,14.0,,,,,4.0,,98.0,,,5.0,,33.0,,,40.0,271.0,27.0,894.0,,4.0,1.0,37.0,,,,,1.0,16.0,43.0,36.0,,,,,35.0,4.0,5.0,295.0,,,286.0,1975.0,,987.0,1.0,110.0,,,,1397.0,,,,2308.0,24.0,,,,35.0,118.0,,,,217.0,2.0,95.0,
hy_armtdp-ud-dev,249,0,1389,1.0,,1.0,,,,,,,5.0,,,,,3.0,,,10.0,26.0,,105.0,,1.0,,2.0,,,,,1.0,2.0,3.0,5.0,,,,,4.0,1.0,1.0,47.0,,,32.0,395.0,,150.0,3.0,11.0,,,,190.0,,,,327.0,1.0,,,,7.0,18.0,,,,31.0,,6.0,
hy_armtdp-ud-test,277,0,1218,3.0,2.0,3.0,,,,,,,11.0,,,2.0,,1.0,,,15.0,55.0,3.0,90.0,,,,3.0,,,,,,2.0,3.0,3.0,,,,,5.0,,,20.0,,,30.0,288.0,,137.0,1.0,13.0,,,,148.0,,,,319.0,1.0,,,,9.0,16.0,,,,30.0,,5.0,
koi_uh-ud-test,94,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
hyw_armtdp-ud-test,680,0,2837,4.0,4.0,4.0,,,,,,,34.0,,,1.0,,6.0,,,9.0,85.0,10.0,264.0,,,,34.0,,,,,,6.0,8.0,19.0,,,4.0,1.0,21.0,,,55.0,,,63.0,432.0,,325.0,,29.0,,,,474.0,,,,786.0,4.0,,,,8.0,30.0,,,1.0,72.0,,44.0,
hyw_armtdp-ud-dev,694,0,2698,5.0,2.0,1.0,,,1.0,,,,28.0,,,,,,,,5.0,54.0,8.0,213.0,,2.0,,33.0,,,,,,8.0,6.0,14.0,,,,1.0,17.0,,,60.0,,,80.0,433.0,,276.0,,36.0,,,,487.0,,,,803.0,1.0,,,,4.0,12.0,,,,69.0,,39.0,
hyw_armtdp-ud-train,5282,0,21109,38.0,46.0,27.0,,,3.0,,2.0,,286.0,,,7.0,2.0,39.0,,,39.0,556.0,65.0,1817.0,,6.0,,344.0,,,,,6.0,37.0,64.0,61.0,,1.0,27.0,11.0,128.0,,5.0,550.0,,,551.0,3635.0,,2562.0,5.0,279.0,,,,3435.0,,,,5201.0,52.0,,,,83.0,193.0,,,,703.0,1.0,242.0,
pl_pud-ud-test,1000,0,81,4.0,1.0,,,,,,7.0,,,,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,7.0,,,16.0,6.0,2.0,,,,3.0,,2.0,2.0,,7.0,8.0,,,,2.0,,3.0,,,,,1.0,,,2.0,,,
ab_abnc-ud-test,263,0,435,,1.0,,,1.0,,1.0,,,3.0,,,,,,1.0,5.0,5.0,,,33.0,,1.0,,,,,,,,,,,,,,,15.0,,,1.0,,,,20.0,1.0,151.0,,,,,,89.0,45.0,1.0,4.0,34.0,,,,,,1.0,,,,11.0,8.0,3.0,
