Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:tcl,advmod,advmod:lmod,advmod:tmod,amod,appos,aux,case,ccomp,compound,compound:prt,conj,cop,cop:own,csubj,csubj:cop,dep,det,expl,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:lmod,nmod:obl,nmod:tmod,nsubj,nsubj:cop,nummod,obj,obl,obl:inst,obl:lmod,obl:lvc,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,248,,,,3.0,,,,,,1.0,,,,,,13.0,,,,,,3.0,,,,4.0,,,,,2.0,,20.0,,2.0,,,,198.0,,,,,2.0,,,,,,
hu_szeged-ud-test,449,0,242,,,,2.0,,,,,,4.0,,,,,,7.0,,,,,,1.0,,,,6.0,,,,,1.0,,7.0,,,,,,210.0,,,,,2.0,2.0,,,,,
hu_szeged-ud-train,910,0,478,,,,2.0,,,,,,2.0,,,,,,14.0,,,,,,9.0,,,,19.0,,,,,,,22.0,,,,,,395.0,,,3.0,,7.0,4.0,,1.0,,,
fi_ood-ud-test,2122,0,456,,2.0,5.0,46.0,,,,,23.0,1.0,,,3.0,,,23.0,5.0,,,,,18.0,,,,1.0,,,,24.0,,,,,,,2.0,,209.0,,,,,8.0,9.0,,69.0,,8.0,
et_ewt-ud-train,5444,0,1244,,13.0,10.0,18.0,,,,,70.0,1.0,,,22.0,,,87.0,,,1.0,1.0,,54.0,,,5.0,,,,,107.0,,,,,,,2.0,,651.0,,,,,4.0,10.0,,131.0,,57.0,
et_ewt-ud-test,913,0,310,,4.0,,2.0,,,,,30.0,,,,1.0,,,19.0,,,,,,15.0,,,,,,,,23.0,,,,,,,1.0,,172.0,,,,,4.0,5.0,1.0,26.0,,7.0,
et_ewt-ud-dev,833,0,146,,6.0,,4.0,,,,,8.0,,,,1.0,,,5.0,,,1.0,,,8.0,,,,,,,,13.0,,,,,,,,,79.0,,,,,,1.0,,9.0,,11.0,
si_stb-ud-test,100,0,13,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,1.0,,,,2.0,,4.0,,,,,,2.0,,,
olo_kkpp-ud-test,106,0,40,,1.0,,1.0,,,,,8.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,25.0,,,,,1.0,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
mdf_jr-ud-test,454,0,123,,,,1.0,,2.0,8.0,,,3.0,,9.0,,,,9.0,,,,,,,,,,,,,,5.0,,3.0,,1.0,,,,1.0,30.0,16.0,29.0,,,,,,6.0,,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
vep_vwt-ud-test,103,0,46,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,7.0,,,,,,,1.0,,28.0,,,,,,,,6.0,,,
fi_tdt-ud-train,12217,0,5512,,157.0,78.0,351.0,,1.0,,,416.0,18.0,,1.0,56.0,,,354.0,15.0,1.0,1.0,5.0,,297.0,,,,37.0,,,,503.0,,,,,,1.0,26.0,,2749.0,,,,,11.0,15.0,,361.0,3.0,48.0,7.0
fi_tdt-ud-test,1555,0,657,,18.0,10.0,41.0,,,,,53.0,3.0,,,4.0,,,35.0,5.0,,,1.0,,35.0,,,,10.0,,,,58.0,,,,,,,3.0,,325.0,,,,,1.0,2.0,,49.0,,4.0,
fi_tdt-ud-dev,1364,0,600,,17.0,10.0,27.0,,,,,45.0,3.0,,,6.0,,,40.0,,,,2.0,,32.0,,,,6.0,,,,62.0,,,,,,,1.0,,295.0,,,,,4.0,3.0,,40.0,,7.0,
myv_jr-ud-test,921,0,256,,,1.0,2.0,,2.0,14.0,1.0,1.0,1.0,,16.0,1.0,1.0,,11.0,,,,,,,,1.0,1.0,,,,,5.0,,4.0,,,,,,15.0,48.0,50.0,69.0,,,2.0,,,10.0,,,
myv_jr-ud-train,1217,0,258,,,1.0,1.0,1.0,2.0,17.0,4.0,,2.0,,11.0,3.0,,,16.0,,,1.0,,,,,,,,,,,7.0,,1.0,,,1.0,,,11.0,44.0,32.0,69.0,,,,,,34.0,,,
kpv_ikdp-ud-test,214,0,64,,,1.0,1.0,,2.0,2.0,,,6.0,,13.0,,,,3.0,,,,,,,,1.0,,,,,,3.0,,,,,,,,,19.0,,8.0,,2.0,,,,3.0,,,
kpv_lattice-ud-test,643,0,241,,1.0,,5.0,2.0,,27.0,2.0,,7.0,,76.0,,,,15.0,,,1.0,,,1.0,,,,1.0,,4.0,1.0,2.0,,,,,,,,,23.0,,53.0,,7.0,1.0,,,12.0,,,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
fi_pud-ud-test,1000,0,497,,10.0,7.0,26.0,,,,,43.0,3.0,,,6.0,,,22.0,3.0,,,,,15.0,,2.0,,7.0,,,,37.0,,,,,,1.0,4.0,,274.0,,,,,,,,32.0,,4.0,1.0
et_edt-ud-dev,3128,0,1147,3.0,10.0,3.0,14.0,,,,,117.0,5.0,,,5.0,,,88.0,,,3.0,,,43.0,,,6.0,,,,,152.0,,,,,,,9.0,,582.0,,,,,9.0,11.0,,59.0,,28.0,
et_edt-ud-train,24615,0,8544,,136.0,38.0,150.0,,,,,739.0,32.0,,,58.0,1.0,,593.0,1.0,,4.0,2.0,,360.0,,,44.0,,,,,1128.0,,,,,2.0,,36.0,,4576.0,,,,,34.0,54.0,,386.0,,170.0,
et_edt-ud-test,3214,0,1183,1.0,39.0,4.0,23.0,,,,,106.0,1.0,,,11.0,,,55.0,,,1.0,,1.0,51.0,,,9.0,,,,,116.0,,,,,1.0,,6.0,,666.0,,,,,3.0,7.0,,58.0,,24.0,
koi_uh-ud-train,34,0,4,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
koi_uh-ud-test,94,0,22,,,,,,,2.0,,,1.0,,6.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,9.0,,,,,,,,,
arr_tudet-ud-test,674,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,109,,,1.0,,,1.0,,,6.0,,,1.0,,2.0,,10.0,1.0,,,,,3.0,,,,,,,,4.0,,,,,1.0,,2.0,,72.0,,,,,,,,3.0,,2.0,
eu_bdt-ud-train,5396,0,3408,,,,310.0,,34.0,,,161.0,17.0,1.0,237.0,1.0,25.0,,86.0,4.0,,1.0,,5.0,182.0,,11.0,27.0,,1.0,,,74.0,,,,,8.0,,,,2188.0,,,,,11.0,,,5.0,,19.0,
eu_bdt-ud-test,1799,0,1180,,,,108.0,,4.0,,,50.0,12.0,,111.0,,12.0,,37.0,,,1.0,,4.0,61.0,,1.0,14.0,,,,,28.0,,,,,2.0,,,,730.0,,,,,1.0,,,1.0,,3.0,
eu_bdt-ud-dev,1798,0,1167,,,,98.0,,7.0,,,48.0,4.0,1.0,83.0,,11.0,,48.0,1.0,,1.0,,3.0,67.0,,5.0,6.0,,,,,28.0,,,,,,,,,748.0,,,,,2.0,,,1.0,,5.0,
