Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cau,advcl:cmp,advcl:tcl,advmod,advmod:deg,advmod:lmod,advmod:tmod,amod,appos,aux,aux:pass,case,ccomp,compound,compound:lvc,compound:smixut,conj,cop,csubj,csubj:pass,dep,det,fixed,flat,flat:foreign,flat:name,iobj,nmod,nmod:gobj,nmod:gsubj,nmod:lmod,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nummod,obj,obl,obl:agent,obl:cau,obl:cmp,obl:dat,obl:inst,obl:lmod,obl:own,obl:tmod,orphan,parataxis,root,vocative,xcomp
no_bokmaal-ud-test,1939,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
no_bokmaal-ud-train,15696,0,6,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
kmr_mg-ud-train,20,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,
kmr_mg-ud-test,734,0,309,,,,,,,,4.0,,,,,,,,,2.0,,2.0,,,,,,2.0,62.0,2.0,,,,,53.0,,,,138.0,,20.0,,,20.0,1.0,,,,1.0,,,,,,,2.0,,
he_iahltwiki-ud-train,4298,0,6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,
he_iahltwiki-ud-dev,348,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,307,,8.0,31.0,24.0,,,,,,,,1.0,,,27.0,,13.0,,,,39.0,24.0,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,129.0,,5.0
mdf_jr-ud-test,454,0,485,,,,3.0,1.0,,2.0,1.0,,,2.0,4.0,7.0,,,4.0,,,,,20.0,,,,,1.0,,1.0,,7.0,,83.0,,,3.0,16.0,1.0,7.0,3.0,3.0,27.0,82.0,3.0,4.0,8.0,,16.0,133.0,,11.0,,,15.0,,17.0
mdf_jr-ud-train,20,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,4.0,,,,,1.0,,
myv_jr-ud-test,921,0,983,,6.0,,8.0,,,,3.0,1.0,,1.0,2.0,11.0,,,5.0,1.0,6.0,,,41.0,,,,,4.0,8.0,1.0,,,,218.0,7.0,5.0,4.0,9.0,,3.0,1.0,1.0,67.0,335.0,3.0,,12.0,,45.0,119.0,,12.0,5.0,1.0,15.0,,23.0
