Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,advmod,case,ccomp,compound:prt,conj,dep,fixed,list,mark,mark:prt,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:smod,obl:tmod,parataxis,reparandum,root,xcomp:pred
sga_dipsgg-ud-test,64,0,11,,,,,,11.0,,,,,,,,,,,,,,,,,
gv_cadhan-ud-test,1164,0,88,,,,,,,,,,,88.0,,,,,,,,,,,,
gv_cadhan-ud-train,1172,0,96,,,,,,,,,,,96.0,,,,,,,,,,,,
ga_idt-ud-train,4005,0,2284,,1.0,213.0,2.0,1.0,,,,1.0,1.0,2.0,1050.0,617.0,,,327.0,60.0,,8.0,1.0,,,
ga_idt-ud-test,454,0,330,,,37.0,,,,,,,,,173.0,77.0,,,32.0,6.0,,5.0,,,,
ga_idt-ud-dev,451,0,305,,,32.0,,,,,,,,,165.0,65.0,,,31.0,10.0,,2.0,,,,
gd_arcosg-ud-test,545,0,333,,,17.0,,,,,,,,,176.0,99.0,,,27.0,5.0,,1.0,,,,8.0
gd_arcosg-ud-train,3541,0,2553,4.0,1.0,39.0,,1.0,,1.0,1.0,,,,1334.0,767.0,1.0,3.0,205.0,118.0,2.0,26.0,,3.0,1.0,46.0
gd_arcosg-ud-dev,655,0,386,,,5.0,,,,,,,,,210.0,105.0,,,34.0,13.0,,,,,,19.0
sga_dipwbg-ud-test,34,0,29,,,,,,29.0,,,,,,,,,,,,,,,,,
ga_cadhan-ud-test,193,0,166,,,34.0,,,,,,2.0,,,88.0,25.0,,,9.0,8.0,,,,,,
