Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,aux,aux:aspect,aux:pass,ccomp,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:cleft,csubj:cop,dep,dep:aux,discourse,dislocated,fixed,flat,list,mark,nmod,nmod:poss,nsubj,obj,obl,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,xcomp
tr_pud-ud-test,1000,0,176,11.0,,17.0,2.0,1.0,,,,4.0,7.0,10.0,,22.0,15.0,,,,,,,,,,,,,2.0,1.0,1.0,,2.0,,,,81.0,
sga_dipsgg-ud-test,64,0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,22,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,20.0,
tr_atis-ud-train,4274,0,225,,,,,,,,,7.0,2.0,,,5.0,,8.0,,,,,3.0,,,,,,,,,,,15.0,,,,185.0,
tr_atis-ud-test,586,0,31,,,1.0,,,,,,1.0,3.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,22.0,
tr_kenet-ud-dev,1646,0,350,9.0,,47.0,,,,,,3.0,6.0,,,18.0,,,,,,,1.0,,,,,,,,1.0,3.0,7.0,53.0,,,,201.0,1.0
tr_kenet-ud-test,1643,0,405,5.0,,60.0,1.0,,,,,11.0,12.0,,,15.0,,,,,,,4.0,,,,,,,,,1.0,1.0,89.0,,,,206.0,
tr_kenet-ud-train,15398,0,2341,25.0,,281.0,7.0,,,,,60.0,33.0,,,122.0,,4.0,,,,,7.0,,,,1.0,,6.0,,21.0,5.0,7.0,343.0,,,,1414.0,5.0
lt_hse-ud-train,153,0,5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,
lt_hse-ud-test,55,0,3,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ess_sli-ud-test,309,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
jaa_jarawara-ud-test,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
wo_wtb-ud-dev,449,0,32,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-test,470,0,15,,,1.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-train,1188,0,48,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
mr_ufal-ud-train,373,0,8,2.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,
lt_alksnis-ud-test,684,0,29,2.0,,1.0,,,,,,1.0,,,,6.0,1.0,2.0,,,,,,,,,,,,,,,,4.0,,,,12.0,
lt_alksnis-ud-dev,617,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
lt_alksnis-ud-train,2341,0,43,,3.0,9.0,,,,,,,,,,9.0,3.0,1.0,,,,,,,,,,,,,,,,5.0,,,,13.0,
mdf_jr-ud-test,454,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
myv_jr-ud-test,921,0,17,,,2.0,,,,1.0,,,,,,8.0,,,,,,,,,,,,,,,,,,1.0,,,,5.0,
myv_jr-ud-train,1217,0,20,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,13.0,
tr_framenet-ud-test,205,0,25,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,17.0,
tr_framenet-ud-train,2288,0,191,,,27.0,,,,,,2.0,9.0,,,3.0,,,,,,,4.0,,,,,,,,,1.0,,15.0,,,,130.0,
tr_framenet-ud-dev,205,0,8,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,
mpu_tudet-ud-test,37,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,404,8.0,,43.0,,,20.0,,,4.0,2.0,,1.0,11.0,17.0,,,,,,,,2.0,,,,,,,,,5.0,,,,291.0,
br_keb-ud-test,884,0,38,,,1.0,,,8.0,,27.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-train,4005,0,157,1.0,32.0,44.0,,,,,,11.0,,,,13.0,,,7.0,1.0,,,,1.0,,,,,,,,,,,,,,47.0,
ga_idt-ud-test,454,0,5,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,
ga_idt-ud-dev,451,0,12,,3.0,2.0,,,,,,2.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,
tl_trg-ud-test,128,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
ota_boun-ud-train,114,0,35,2.0,,7.0,,,,,,,,6.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,12.0,
ota_boun-ud-test,400,0,76,3.0,,10.0,1.0,,1.0,,,2.0,2.0,15.0,4.0,8.0,,1.0,,,,,,,,1.0,,,,,,,,3.0,,,,25.0,
ha_southernautogramm-ud-test,1918,0,71,,1.0,,,,67.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,
kk_ktb-ud-test,1047,0,349,,,,,,35.0,,,12.0,,,,23.0,38.0,,,,,,1.0,,,,,,,,,,,9.0,,,,231.0,
kk_ktb-ud-train,31,0,3,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,
ota_dudu-ud-test,85,0,30,,,5.0,,,,,,2.0,,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,16.0,
ug_udt-ud-test,900,0,76,,,,,,8.0,,,11.0,,,,2.0,2.0,,,,,,1.0,,,1.0,,,,,,,,5.0,,,,45.0,1.0
ug_udt-ud-dev,900,0,103,,,,,1.0,12.0,,,9.0,,,,6.0,10.0,,,,,,3.0,,,,,,,,1.0,,,2.0,,,,59.0,
ug_udt-ud-train,1656,0,155,,,,,,24.0,,,9.0,,,,10.0,17.0,,,,,,,,,,,,,,,,,7.0,,,,88.0,
sga_dipwbg-ud-test,34,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
qtd_sagt-ud-test,805,0,89,3.0,,19.0,,,,,,5.0,,,1.0,18.0,,1.0,,,,,,,,,,,,,,,,11.0,2.0,,1.0,27.0,1.0
qtd_sagt-ud-dev,801,0,95,,,12.0,,,,,,11.0,,,,23.0,,1.0,,,,,,,,,,,,,,,,9.0,,,2.0,32.0,5.0
qtd_sagt-ud-train,578,0,64,2.0,,5.0,,,,,,7.0,,,,20.0,,1.0,,,,,,,,,,,,,,,1.0,8.0,2.0,2.0,1.0,13.0,2.0
ga_cadhan-ud-test,193,0,4,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,
yrl_complin-ud-test,1470,0,7,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,
tr_tourism-ud-train,15473,0,948,,,53.0,1.0,,,,,5.0,3.0,,,16.0,,1.0,,,,,3.0,,1.0,,,,2.0,,,2.0,2.0,67.0,,,,792.0,
tr_tourism-ud-dev,2166,0,126,,,5.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,14.0,,,,104.0,
tr_tourism-ud-test,2191,0,137,,,7.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,14.0,,,,114.0,
aqz_tudet-ud-test,343,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,
tr_imst-ud-train,3435,0,777,25.0,,104.0,1.0,,,,,35.0,86.0,40.0,,112.0,,,,,,,2.0,1.0,,,,,13.0,5.0,4.0,8.0,2.0,7.0,,,,332.0,
tr_imst-ud-dev,1100,0,169,7.0,,23.0,,,,,,5.0,23.0,6.0,1.0,22.0,,,,,,,,,,,,,7.0,,,1.0,,2.0,,,,72.0,
tr_imst-ud-test,1100,0,215,5.0,,27.0,2.0,,,,,9.0,23.0,8.0,,44.0,,,,,,,,1.0,,,,,,,1.0,4.0,,1.0,,,,90.0,
bxr_bdt-ud-test,908,0,21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,7.0,
