Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:emph,amod,appos,aux,aux:part,case,cc,ccomp,ccomp:relcl,compound,compound:lvc,compound:prt,compound:redup,compound:smixut,conj,conj:expl,cop,csubj,csubj:pass,csubj:relcl,dep,dep:infl,det,det:poss,discourse,dislocated,dislocated:obj,expl,expl:comp,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:repeat,flat:sibl,iobj,nmod,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:pass,obj,obj:agent,obj:appl,obj:caus,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:float,obl:lmod,obl:mod,obl:npmod,obl:pmod,obl:subj,orphan,parataxis,reparandum,root,xcomp,xcomp:pred
sl_ssj-ud-test,1282,0,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,360.0,,,,,,,,,,,12.0,6.0,,,,,,,,,,,4.0,,,,10.0,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,452,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,60.0,,1.0,,,350.0,,,,,,,,,,,11.0,7.0,,,,,,,,,,,7.0,,,,10.0,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,3981,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,3.0,,,,,,,,660.0,,,,,2997.0,,,,,,3.0,,,,,92.0,26.0,,,,,,,,,,,88.0,,,,106.0,,,,,,,,,,,,,2.0,,,,1.0,
xcl_caval-ud-train,3185,0,443,,,,1.0,,,,,,,,3.0,,,,,1.0,,,,,,,1.0,,,,,,,,103.0,,,,,,,,,,,,,,,,2.0,256.0,,,,,,,,26.0,,,5.0,,,,41.0,,,,,,,,,,,,,4.0,,,,,
xcl_caval-ud-dev,411,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,15.0,,,,,,,,,,,,,,,,,33.0,,,,,,,,7.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,75,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,1.0,39.0,,,,,,,,8.0,,,,,,,6.0,,,,,,,,,,,,,1.0,,,,,
hu_szeged-ud-dev,441,0,11,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,1.0,,,12.0,,,,6.0,,,,,,,,,,,,,,,,,,
xav_xdt-ud-test,171,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
no_bokmaal-ud-dev,2409,0,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,,,,,,,110.0,,,,16.0,,,,,,,,,,,,,,,,,,
no_bokmaal-ud-test,1939,0,120,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,82.0,,,,21.0,,,,,,,,,,,,,,,,,1.0,
no_bokmaal-ud-train,15696,0,968,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,141.0,32.0,,,,,,,,,,,660.0,,,,126.0,,,,,,,,,,,,,,,,,4.0,
fa_seraji-ud-dev,599,0,76,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,61.0,3.0,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,
fa_seraji-ud-test,600,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,56.0,3.0,,,1.0,,,,7.0,,,,,,,,,,,,,,,,,1.0,
fa_seraji-ud-train,4798,0,514,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,3.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,18.0,,,,,,,385.0,34.0,,,31.0,,,,38.0,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,38,,,,,,,,,,,4.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,16.0,3.0,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,,
es_gsd-ud-test,426,0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
es_gsd-ud-dev,1400,0,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
es_gsd-ud-train,14187,0,4774,,,,3.0,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,6.0,,4712.0,,2.0,,,,,8.0,,,,,,,,1.0,,,14.0,,,,18.0,,1.0,,,,,,,,,,,,1.0,,4.0,,
fi_ood-ud-test,2122,0,22,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,6.0,,,,7.0,,,,,,,,,,,,,,,,1.0,,
de_hdt-ud-test,18459,0,2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.0,,,,,,,9.0,,,,,,,,,,,878.0,,,,50.0,,152.0,,,,,,,,,,,,,1.0,,6.0,
de_hdt-ud-train,153035,0,17002,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,8425.0,,,,,,,61.0,,,,,,,,2.0,,,6780.0,,,,459.0,,1215.0,,,,,,,,,,,,,3.0,,53.0,
de_hdt-ud-dev,18434,0,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.0,,,,,,,5.0,,,,,,,,,,,864.0,,,,29.0,,100.0,,,,,,,,,,,,,,,7.0,
pl_pdb-ud-test,2215,0,710,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,76.0,,,,,,,,,595.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,13.0,1.0,15.0,,1.0,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,5935,,,,,,,,,,2.0,,,,,,,,,,,,,,10.0,,,,,,,,,599.0,,,,,,,,,4960.0,5.0,,,,,30.0,12.0,8.0,,,,,,,1.0,,,20.0,,,,144.0,5.0,136.0,,2.0,,,,,,,,,,,,1.0,,
pl_pdb-ud-dev,2215,0,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,600.0,1.0,,,,,3.0,1.0,1.0,,,,,,,,,,4.0,,,,24.0,4.0,22.0,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,4.0,,,,8.0,,,,,,,,,,,,,,1.0,,,,1.0
uk_iu-ud-train,5521,0,564,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,341.0,,,,,14.0,,,,,,1.0,,4.0,,1.0,34.0,5.0,,,,,,,,13.0,,,34.0,,,,106.0,,,,,,,,,,,,,1.0,1.0,,2.0,,
