Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,advmod:emph,amod,appos,aux,case,case:adv,cc,ccomp,compound,compound:lvc,conj,cop,csubj,det,det:poss,dislocated,fixed,flat,iobj,mark,nmod,nmod:lmod,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:tmod,orphan,parataxis,root,xcomp
hi_hdtb-ud-train,13306,0,11,,,,,,4.0,,,,,,,2.0,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
hi_hdtb-ud-test,1684,0,2,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
vi_tuecl-ud-test,100,0,11,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,9.0,,,,,,,,,,,,
id_gsd-ud-train,4482,0,167,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0,,56.0,,66.0,,6.0,,20.0,8.0,,,,,1.0,3.0,
id_gsd-ud-test,557,0,19,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,10.0,,,,1.0,,,,,,,,
id_gsd-ud-dev,559,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,15.0,,1.0,,,2.0,,,,,,,
id_pud-ud-test,1000,0,5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,81,,,,,,,,,,,,,,,2.0,,,1.0,26.0,,,2.0,1.0,,1.0,,,,24.0,,,,16.0,8.0,,,,,,,
hy_armtdp-ud-dev,249,0,31,,,1.0,,,,,,,,,,,,1.0,,,,15.0,,,,,,,,,,5.0,,,,5.0,4.0,,,,,,,
hy_armtdp-ud-test,277,0,9,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,,,3.0,,,,,1.0,,,
ota_boun-ud-train,114,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,5,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
ca_ancora-ud-dev,1709,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,
ca_ancora-ud-test,1846,0,5,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,
ca_ancora-ud-train,13123,0,37,,,,,,,,,,,,,,,1.0,,,,,,2.0,11.0,,,,,,,2.0,,,,19.0,1.0,,1.0,,,,,
ota_dudu-ud-test,85,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ur_udtb-ud-train,4043,0,20,,,4.0,,,,,4.0,,,,5.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,43,,,,,,,,15.0,,,,1.0,,,3.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,18.0,
eu_bdt-ud-test,1799,0,10,,,,,,,,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
eu_bdt-ud-dev,1798,0,19,,,,,,,,8.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,
jv_csui-ud-test,1000,0,4187,16.0,45.0,110.0,631.0,3.0,46.0,6.0,273.0,558.0,9.0,300.0,4.0,10.0,,36.0,33.0,2.0,586.0,,,4.0,,2.0,206.0,92.0,18.0,214.0,2.0,483.0,1.0,55.0,39.0,62.0,122.0,4.0,,20.0,,10.0,157.0,28.0
tr_imst-ud-train,3435,0,772,,,12.0,,,,,,,,,29.0,69.0,37.0,109.0,,1.0,,,1.0,,,,,10.0,,2.0,,,,,,3.0,1.0,,,,,9.0,489.0,
tr_imst-ud-dev,1100,0,254,,,4.0,,,,,,,,,11.0,20.0,8.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,171.0,
tr_imst-ud-test,1100,0,300,,,6.0,,,,,,,,,17.0,27.0,14.0,52.0,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,177.0,
tr_boun-ud-test,979,0,2,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
