Treebank,Number of Sentences,Failures,Total,conj,discourse,mark,obj,reparandum,root
pt_gsd-ud-test,1200,0,1,,1.0,,,,
pt_gsd-ud-train,9616,0,3,,2.0,1.0,,,
fr_gsd-ud-train,14450,0,3,,2.0,,,,1.0
fr_rhapsodie-ud-train,1288,0,9,,6.0,,,,3.0
fr_rhapsodie-ud-dev,1081,0,2,,,,,,2.0
fr_rhapsodie-ud-test,840,0,7,,1.0,,,,6.0
fr_parisstories-ud-dev,692,0,85,3.0,70.0,,,3.0,9.0
fr_parisstories-ud-train,1387,0,162,3.0,154.0,,1.0,2.0,2.0
fr_parisstories-ud-test,697,0,156,5.0,144.0,,,1.0,6.0
pt_bosque-ud-dev,1172,0,4,,4.0,,,,
pt_bosque-ud-test,1167,0,8,,7.0,,,,1.0
pt_bosque-ud-train,7018,0,22,,22.0,,,,
pcm_nsc-ud-dev,990,0,1,,,,,,1.0
fr_sequoia-ud-train,2231,0,1,,1.0,,,,
