Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cond,advcl:conv,advcl:eval,advcl:purp,advcl:quote,advcl:seq,advcl:tcl,advmod,advmod:deg,amod,appos,aux,aux:aspect,aux:nec,aux:neg,ccomp,ccomp:obj,ccomp:purp,ccomp:quote,compound,compound:svc,conj,cop,csubj,csubj:cop,dep,dep:infl,discourse,fixed,nmod,nsubj,obj,obj:ro,obl,orphan,parataxis,parataxis:rep,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:lo
gun_dooley-ud-test,1046,0,1138,,32.0,,314.0,,,,,,,,,,,,,,,,12.0,,,,3.0,10.0,17.0,,1.0,,,,,,,18.0,14.0,,6.0,,7.0,42.0,,662.0,,,,
ess_sli-ud-test,309,0,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,988,,,,29.0,,,,,,,,,,,,162.0,,,,11.0,,,,,,53.0,,,,2.0,,,,,,,,5.0,,25.0,,,700.0,,1.0,,
apu_ufpa-ud-test,161,0,40,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,6.0,2.0,,,,,,,2.0,,,,,,,,,24.0,,1.0,,
mdf_jr-ud-test,454,0,468,,2.0,5.0,27.0,,,4.0,,,,7.0,,,,,5.0,,9.0,16.0,12.0,,,,,,111.0,16.0,,1.0,,,,1.0,,1.0,,,,,12.0,,,239.0,,,,
mdf_jr-ud-train,20,0,18,,,,1.0,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,8.0,,,,
bor_bdt-ud-test,881,0,10,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,
myv_jr-ud-test,921,0,1280,,1.0,32.0,37.0,,,,,,,1.0,,,1.0,6.0,8.0,33.0,8.0,58.0,36.0,,,,3.0,,396.0,33.0,4.0,,,,1.0,1.0,,,,,,,70.0,,,546.0,,5.0,,
myv_jr-ud-train,1217,0,1301,,3.0,13.0,23.0,,,2.0,,,,3.0,,2.0,,6.0,12.0,61.0,10.0,51.0,26.0,,,,,,270.0,36.0,3.0,,,,,,1.0,2.0,1.0,,,1.0,86.0,,,686.0,1.0,1.0,1.0,
quc_iu-ud-test,1435,0,764,,42.0,,28.0,,,,,,,,,,,,,,,,38.0,,,,,,15.0,,36.0,,1.0,,,,,,,,,,41.0,,,534.0,,29.0,,
gun_thomas-ud-test,98,0,85,,4.0,,14.0,,,,,,,,,,,,,,,,10.0,,,,,1.0,26.0,,,,,,1.0,,,,1.0,,1.0,,3.0,1.0,,22.0,,1.0,,
tpn_tudet-ud-test,581,0,86,,,,6.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,13.0,,,58.0,,6.0,,
myu_tudet-ud-test,158,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,11.0,,,,
nhi_itml-ud-test,909,0,1163,,51.0,10.0,135.0,,,,,,,,,,,1.0,24.0,,,,48.0,,,,,,201.0,16.0,29.0,,,,4.0,1.0,1.0,,,,,,96.0,,1.0,514.0,,31.0,,
ka_glc-ud-test,151,0,205,,9.0,,4.0,,,,,,,,,,,,8.0,,,,34.0,,,,,,30.0,10.0,1.0,,,,,,,,,,,,6.0,,,102.0,,1.0,,
gn_oldtudet-ud-test,59,0,15,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
azz_itml-ud-test,1260,0,1749,3.0,1.0,92.0,215.0,,,,,,,,2.0,,,6.0,1.0,,,,52.0,,,,,,262.0,19.0,11.0,,4.0,,,,,,1.0,,1.0,,255.0,,4.0,797.0,,23.0,,
ab_abnc-ud-test,263,0,468,,,5.0,55.0,3.0,57.0,,2.0,10.0,23.0,,2.0,,,,,,,,,7.0,1.0,13.0,,,53.0,15.0,5.0,,,,,,1.0,5.0,1.0,1.0,,,13.0,,,191.0,,1.0,,4.0
