Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:relcl,advmod,advmod:cau,advmod:emph,advmod:lmod,advmod:tmod,amod,appos,case,ccomp,ccomp:reported,compound:prt,conj,csubj,discourse,fixed,mark,nsubj:pass,obj,obl,obl:lmod,orphan,orphan:missing,parataxis,root,xcomp
la_circse-ud-test,1263,0,57,,,,1.0,,1.0,,,41.0,1.0,,,,1.0,,,3.0,,3.0,,,,,,,2.0,,,4.0,
la_perseus-ud-test,939,0,21,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,33,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,3,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
si_stb-ud-test,100,0,4,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
vi_tuecl-ud-test,100,0,2,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,5,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,
la_llct-ud-dev,850,0,141,,,,,,,,,140.0,1.0,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,110,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,981,,,,,,,,,972.0,1.0,,,,,,,,,,,2.0,,,,,,1.0,,5.0,
bor_bdt-ud-test,881,0,16,,,2.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,154,1.0,1.0,1.0,,,5.0,1.0,,32.0,,1.0,,59.0,1.0,,,2.0,,,2.0,,,,38.0,8.0,,,,2.0,
myv_jr-ud-train,1217,0,99,1.0,1.0,1.0,,,2.0,,,11.0,,,1.0,45.0,1.0,,1.0,,,,1.0,,,,31.0,1.0,1.0,,,1.0,
kpv_lattice-ud-test,643,0,2,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
koi_uh-ud-train,34,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,13,,,,,,,,,1.0,,,,11.0,,,,,,,,1.0,,,,,,,,,
la_udante-ud-train,926,0,282,,5.0,2.0,2.0,,13.0,,,132.0,1.0,,,,1.0,,,2.0,,108.0,,6.0,,,3.0,1.0,1.0,,,3.0,2.0
la_udante-ud-test,419,0,77,,1.0,1.0,2.0,,6.0,,,31.0,,,,,,,,4.0,,31.0,,,,,,,,,,1.0,
la_udante-ud-dev,376,0,81,,1.0,,,,,,,47.0,,,,,,1.0,,1.0,,22.0,,6.0,1.0,1.0,,,1.0,,,,
ka_glc-ud-test,151,0,15,,,,,,,,,14.0,,,,,,,,1.0,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,200,,,2.0,,1.0,,,,76.0,,,,,,,,,,113.0,,,,,,,,,,8.0,
la_ittb-ud-test,2101,0,162,,,1.0,,1.0,,,,90.0,,,,,,,,,,57.0,,,,,,,,,,13.0,
la_ittb-ud-train,22775,0,2289,,,14.0,,9.0,,,1.0,1298.0,,,,,,,,1.0,,793.0,,2.0,,,,,,,,171.0,
yrl_complin-ud-test,1470,0,176,,1.0,5.0,,,118.0,,,,,,,,5.0,,,1.0,1.0,,,,,,12.0,,,,5.0,28.0,
