Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cau,advcl:cleft,advcl:cmp,advcl:tcl,amod,appos,aux,case,ccomp,ccomp:obj,ccomp:quote,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,dep,discourse,dislocated,fixed,flat,iobj,nmod,nmod:arg,nmod:flat,nmod:part,nmod:poss,nsubj,nsubj:cop,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:inst,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rep,parataxis:trans,reparandum,root,xcomp,xcomp:lo,xcomp:pred
xcl_caval-ud-train,3185,0,120,,,,64.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,17.0,,,,,,,,2.0,28.0,,,,,,,,,,,,,,,,1.0,,,
xcl_caval-ud-dev,411,0,19,,1.0,,12.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,
xcl_caval-ud-test,550,0,20,,,,10.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,1.0,,
gun_dooley-ud-test,1046,0,65,,1.0,,34.0,,,,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,17.0,,,
tr_pud-ud-test,1000,0,570,,4.0,,94.0,,,,,3.0,1.0,1.0,,63.0,,,15.0,34.0,,,34.0,24.0,43.0,,,,,,,18.0,4.0,,,,103.0,23.0,,,26.0,19.0,,,,,,,,,,,,,,,,2.0,59.0,,
pl_pdb-ud-test,2215,0,386,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,11.0,49.0,78.0,,,,31.0,,3.0,37.0,59.0,,49.0,,1.0,,,,,,,,,,,,9.0,,,
pl_pdb-ud-train,17722,0,3136,,,3.0,2.0,,,,,,3.0,,,,3.0,,,,,,351.0,,,,,,,3.0,,137.0,429.0,559.0,3.0,,,321.0,,11.0,274.0,522.0,2.0,418.0,,19.0,,,,2.0,,,3.0,6.0,,,,60.0,2.0,,3.0
pl_pdb-ud-dev,2215,0,391,,,,2.0,,,,,,,,,,,,,,,,48.0,,,,,,,,,17.0,69.0,56.0,,,,31.0,,1.0,37.0,75.0,,42.0,,2.0,,,,,,,,,,,,10.0,,,1.0
bn_bru-ud-test,56,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,
tr_kenet-ud-dev,1646,0,13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,10.0,,,
tr_kenet-ud-test,1643,0,10,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
tr_kenet-ud-train,15398,0,100,,,,4.0,,,,,,,,,2.0,,,1.0,,,,7.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,,80.0,,,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
say_autogramm-ud-test,1864,0,150,,,4.0,3.0,,,,,,,,,9.0,,,13.0,,,,2.0,,,,4.0,,6.0,,,,7.0,,,,,6.0,,,37.0,14.0,,17.0,,,,,,,8.0,,,,,,,15.0,5.0,,
cs_pud-ud-test,1000,0,251,,1.0,,,,,,,,2.0,,,1.0,,,1.0,,,,28.0,,,,,,,1.0,,,72.0,,,,,26.0,,7.0,43.0,42.0,,18.0,,,,,,,,,,,,,,8.0,1.0,,
ml_ufal-ud-test,218,0,57,,4.0,1.0,8.0,,,,,,,1.0,,1.0,,,,,,,,2.0,7.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,30.0,,,
apu_ufpa-ud-test,161,0,11,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,2.0,,,
si_stb-ud-test,100,0,8,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,1.0,,,
mdf_jr-ud-test,454,0,28,,,,2.0,3.0,,,3.0,,,,,,,,1.0,,,,3.0,,2.0,,,,,,,,4.0,,,,,4.0,,,3.0,1.0,,,,,,,,,,,,,,,,,2.0,,
myv_jr-ud-test,921,0,43,,1.0,,3.0,,,,,1.0,1.0,,,,,,8.0,,,,3.0,,,,,,,,,,3.0,,,,,5.0,,,6.0,4.0,,,6.0,,,1.0,,,,,,,,,,,1.0,,
myv_jr-ud-train,1217,0,44,,2.0,,2.0,,,2.0,3.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,7.0,,,,,3.0,,,3.0,9.0,,,6.0,,1.0,,,,,,,,,,,,2.0,,
tr_framenet-ud-test,205,0,2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
tr_framenet-ud-train,2288,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
gun_thomas-ud-test,98,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
bm_crb-ud-test,1026,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,1.0,,,,,,,,,,,,6.0,,,,1.0,,,
ky_ktmu-ud-train,80,0,33,,11.0,,4.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,4.0,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,,6.0,,,
ky_ktmu-ud-test,701,0,271,,62.0,,46.0,,,,,,,,,20.0,,,7.0,,,1.0,8.0,,2.0,,,,,2.0,,,42.0,,,,,23.0,,,6.0,5.0,,,,,,,,,6.0,,,,,,,41.0,,,
kpv_ikdp-ud-test,214,0,6,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
kpv_lattice-ud-test,643,0,53,,4.0,1.0,12.0,,,,7.0,,1.0,,,,,,,,,,6.0,,2.0,1.0,,,,,,,1.0,,,,,1.0,,,4.0,8.0,,,,,,,1.0,,,,,,,,,3.0,1.0,,
