Treebank,Number of Sentences,Failures,Total,_,acl,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:fin,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:cmp,advmod:deg,advmod:lmod,advmod:tmod,amod,appos,aux,case,case:loc,ccomp,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:infl,det,discourse,dislocated,dislocated:advcl,dislocated:nsubj,dislocated:obj,expl,fixed,flat,flat:foreign,flat:name,flat:redup,iobj,list,mark,nmod,nmod:appos,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cau,obl:cmp,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:mod,obl:path,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,xcomp:result
xcl_caval-ud-train,3185,0,1061,,13.0,,,24.0,,,,,,,,,,,,,,,,8.0,5.0,,,,24.0,,,,,,,,,,62.0,,,1.0,,,,,,,,113.0,,,,,,,,,,,,1.0,,,182.0,,,,,,,,,,5.0,,561.0,37.0,,,,,,,,,,,,,,,17.0,,,,,8.0,,,
xcl_caval-ud-dev,411,0,131,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,5.0,,,1.0,,,,,,,,9.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,1.0,,86.0,7.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,
xcl_caval-ud-test,550,0,206,,2.0,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,2.0,,,,,,,,,,12.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,33.0,,,,,,,,,,1.0,,117.0,9.0,,,,,,,,,,,,,,,2.0,,,,,,,,
hu_szeged-ud-dev,441,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,26,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,55,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,5.0,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,338,,,,,22.0,,,,,,,,,,,,,,,,3.0,4.0,,5.0,,3.0,,,,4.0,1.0,,,,,11.0,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,11.0,,,,,,28.0,,2.0,,,17.0,217.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,3.0,
fi_ood-ud-test,2122,0,65,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,1.0,,,,5.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,3.0,,9.0,
sah_yktdt-ud-test,299,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
sa_vedic-ud-test,2709,0,283,,8.0,,1.0,1.0,,10.0,,,1.0,,,,,1.0,1.0,,,,,8.0,1.0,,,,1.0,,,,,,,,,,32.0,,,,,,,,,,,14.0,,1.0,,,,,,11.0,,,,,,,,5.0,,,,,,,1.0,,,1.0,61.0,,,,,,2.0,10.0,,3.0,1.0,,,,68.0,10.0,19.0,,1.0,,,10.0,,,
sa_vedic-ud-train,21477,0,1891,,41.0,1.0,3.0,7.0,,16.0,10.0,,,4.0,1.0,,,4.0,2.0,,,,,53.0,2.0,,,,15.0,,,,,,,,,,154.0,,,,,,,,,,,99.0,,1.0,,,,,,115.0,,,,1.0,,,11.0,7.0,,,,,,,1.0,,1.0,3.0,325.0,2.0,,1.0,,,19.0,88.0,1.0,25.0,9.0,,4.0,1.0,580.0,60.0,146.0,,5.0,,,71.0,,1.0,1.0
sa_vedic-ud-dev,2996,0,269,,4.0,,2.0,1.0,,6.0,,,,,,,,,1.0,,,,,7.0,,,,,2.0,,,,,,,,,,35.0,,,,,,,,,,,16.0,,,,,,,,13.0,,,,,,,,1.0,,,,,,,,,,1.0,33.0,,,,,,1.0,16.0,,2.0,1.0,,,,102.0,17.0,6.0,,,,,2.0,,,
la_circse-ud-test,1263,0,2119,,52.0,,1.0,9.0,110.0,,,7.0,,,,,,,1.0,,,,,413.0,2.0,,,,1.0,,,,,,,,,,124.0,,,,,,,,,,,133.0,,,,,,,,1.0,,5.0,1.0,,,,24.0,,,,,,,,33.0,83.0,8.0,2.0,715.0,85.0,49.0,,,11.0,,,,187.0,,,,,,23.0,19.0,1.0,,,,18.0,,1.0,
tr_atis-ud-dev,572,0,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,88.0,,,,,,,335.0,,,,,,,30.0,1.0,,,,32.0,,,,,,,,,,,,,,,40.0,,,,,,1.0,,,
tr_atis-ud-train,4274,0,3875,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,7.0,,,,,,34.0,,,,,,,,,,,,,,,,,,,586.0,,,,,2.0,,2547.0,,,,,,,152.0,4.0,,,1.0,260.0,,,,,,,,,,,,,,,263.0,,,,,,7.0,,,
tr_atis-ud-test,586,0,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,318.0,,,,,,,33.0,1.0,,,,24.0,,,,,,,,,,,,,,,30.0,1.0,,,,,2.0,,,
hi_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,963,,1.0,,1.0,6.0,48.0,,,3.0,,,,,,,,,,,,174.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,59.0,,,,,,,,,,,,,,,52.0,,,,,,,,11.0,42.0,2.0,75.0,456.0,,,,,,,,,,,,,,,,1.0,,,,,5.0,,4.0,
la_perseus-ud-train,1334,0,2073,,1.0,,,22.0,111.0,,,1.0,,,,,,,,,,,,281.0,5.0,,,,,,,,,,,,,,153.0,,,,,,,,,,,207.0,,,,,,,,,,14.0,,,,,94.0,,,,,,,,19.0,101.0,10.0,154.0,892.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,5.0,
tr_kenet-ud-dev,1646,0,399,,,,,32.0,,,,,,,,,,,,,,,,6.0,,,,,1.0,,,,28.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,31.0,247.0,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,
tr_kenet-ud-test,1643,0,366,,3.0,,,25.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,55.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,11.0,190.0,,,,,,,,,,,,,,,,,,,,,2.0,,12.0,
tr_kenet-ud-train,15398,0,2896,,4.0,,,132.0,,,,,,,,,,,,,,,,56.0,1.0,,4.0,,28.0,,,1.0,135.0,,,,,,126.0,,,1.0,,,,,1.0,,,,2.0,,,,,,,10.0,,,,1.0,7.0,,423.0,,,,,,,,3.0,,3.0,147.0,1769.0,,,,,,,,,,,,,,,,2.0,,1.0,,,17.0,,22.0,
ess_sli-ud-test,309,0,85,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
sa_ufal-ud-test,230,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,2.0,,,,,,,,
et_ewt-ud-train,5444,0,115,,,,,1.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,7.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,
et_ewt-ud-test,913,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
