Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,aux,aux:pass,aux:q,case,ccomp,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:pass,dep,discourse,discourse:q,dislocated,flat,flat:name,iobj,mark,nmod,nmod:poss,nsubj,nsubj:pass,obj,obl,orphan,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,xcomp
jaa_jarawara-ud-test,20,0,2,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
gub_tudet-ud-test,1182,0,3,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,26,,2.0,2.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,17.0,
ky_ktmu-ud-test,701,0,21,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
mpu_tudet-ud-test,37,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,52,,,6.0,,,1.0,,,,3.0,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,36.0,
tpn_tudet-ud-test,581,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,61,,,,,,,,,,,4.0,5.0,,12.0,13.0,,,,1.0,,,,,,,,,,,,,,,,,,26.0,
ota_boun-ud-test,400,0,203,,,2.0,,,1.0,,,,1.0,8.0,25.0,,31.0,19.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,112.0,1.0
ltg_cairo-ud-test,20,0,29,3.0,1.0,1.0,,,,,,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,19.0,
arr_tudet-ud-test,674,0,49,,,,8.0,,,,,,,,,,,,,,,28.0,,,,,,5.0,,,,,,,,2.0,,,,6.0,
kk_ktb-ud-test,1047,0,35,,,,,,,,,,1.0,,,,4.0,12.0,,,,,,,,,,,,,,,,,,1.0,,,,17.0,
ota_dudu-ud-test,85,0,17,,,,,,,,,,,,,,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,
lv_lvtb-ud-test,2412,0,3860,158.0,269.0,190.0,,,215.0,193.0,,,237.0,,,,681.0,418.0,29.0,3.0,12.0,7.0,,,,,,,,,,,,,2.0,30.0,,,1.0,1414.0,1.0
lv_lvtb-ud-train,14358,0,24112,452.0,1903.0,1304.0,,,1395.0,1440.0,,,1486.0,,,,3998.0,3204.0,160.0,34.0,67.0,56.0,,,,1.0,4.0,,3.0,,2.0,2.0,,4.0,25.0,172.0,,,2.0,8392.0,6.0
lv_lvtb-ud-dev,2080,0,3483,99.0,241.0,154.0,,,193.0,198.0,,,197.0,,,,681.0,406.0,14.0,7.0,6.0,7.0,,,,,1.0,,1.0,,,,,,1.0,27.0,,,1.0,1248.0,1.0
qtd_sagt-ud-test,805,0,778,,10.0,47.0,,,,,3.0,,42.0,,,5.0,144.0,75.0,4.0,,,,,1.0,,,,,,,,,,,,119.0,18.0,8.0,6.0,279.0,17.0
qtd_sagt-ud-dev,801,0,618,,8.0,32.0,,,,,6.0,,38.0,,,,106.0,54.0,3.0,,,,,6.0,,,,,,,,,,,,65.0,15.0,2.0,6.0,265.0,12.0
qtd_sagt-ud-train,578,0,527,,8.0,36.0,,,,,3.0,,31.0,1.0,,1.0,151.0,38.0,1.0,,,,,1.0,,,,,,,,,,1.0,,46.0,14.0,4.0,5.0,177.0,9.0
lv_cairo-ud-test,20,0,29,3.0,1.0,1.0,,,,,,,1.0,,,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,
bxr_bdt-ud-test,908,0,66,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,467,,,1.0,,1.0,1.0,,,,7.0,30.0,26.0,,45.0,102.0,,,,,3.0,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,243.0,
tr_boun-ud-test,979,0,391,,1.0,8.0,,,2.0,,,,5.0,18.0,19.0,,47.0,64.0,,,,,,,,,,,,,,,,,,1.0,,,,226.0,
tr_boun-ud-train,7803,0,3508,,4.0,28.0,,2.0,15.0,,,1.0,35.0,184.0,145.0,,313.0,1230.0,1.0,,,2.0,15.0,1.0,,,,,7.0,11.0,,,4.0,2.0,,15.0,,,,1493.0,
