Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cond,advcl:conv,advcl:quote,advcl:tcl,amod,appos,aux,aux:aspect,aux:neg,ccomp,ccomp:obj,ccomp:purp,ccomp:quote,compound,compound:svc,conj,cop,csubj,csubj:cop,dep,dep:infl,discourse,dislocated,dislocated:cleft,nmod,nsubj,obj,obl,obl:subj,orphan,parataxis,parataxis:rep,reparandum,root,xcomp,xcomp:obj
gun_dooley-ud-test,1046,0,330,2.0,,92.0,,,,,,,,,,2.0,,,,,8.0,5.0,,,,,,,,,,,2.0,,,,15.0,77.0,,127.0,,
ess_sli-ud-test,309,0,68,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,
jaa_jarawara-ud-test,20,0,9,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,3.0,,
gub_tudet-ud-test,1182,0,81,,,2.0,,,,,,,6.0,,,47.0,,,,,,3.0,,,,,,,,,,,,,3.0,,2.0,,,18.0,,
apu_ufpa-ud-test,161,0,4,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,
mdf_jr-ud-test,454,0,119,,,5.0,,,,1.0,,1.0,,,5.0,2.0,,,,,,27.0,2.0,,,,,,,,,,,,,1.0,6.0,,,69.0,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
bor_bdt-ud-test,881,0,31,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,11.0,,,,,,,,17.0,,
myv_jr-ud-test,921,0,76,,1.0,6.0,,,,,,1.0,,1.0,12.0,1.0,,,,,,10.0,1.0,,1.0,,,,,,,,,,,,4.0,,,38.0,,
myv_jr-ud-train,1217,0,159,,,5.0,,,,,,,,5.0,2.0,3.0,,,,2.0,,38.0,1.0,,,,,,,,,1.0,,,,,6.0,,,95.0,1.0,
quc_iu-ud-test,1435,0,312,14.0,,12.0,,,,,,,,,,23.0,,,,,,3.0,,9.0,,,,,,,,,,,,,6.0,,,241.0,4.0,
gun_thomas-ud-test,98,0,107,5.0,,17.0,,,,,,,,,,7.0,,,,,1.0,14.0,,,,,,,1.0,1.0,,,3.0,,,,1.0,,1.0,56.0,,
tpn_tudet-ud-test,581,0,97,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,13.0,,,75.0,4.0,
nhi_itml-ud-test,909,0,481,17.0,2.0,45.0,,,,,,4.0,,,,19.0,,,,,,85.0,4.0,10.0,,,,,,,2.0,1.0,,44.0,,,50.0,,2.0,178.0,18.0,
ka_glc-ud-test,151,0,31,,,1.0,,,,,,,2.0,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,5.0,,,19.0,,
gn_oldtudet-ud-test,59,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,15.0,,
azz_itml-ud-test,1260,0,181,,9.0,11.0,,,,,,,,,,5.0,,,,,,14.0,1.0,4.0,,3.0,,,,,,1.0,2.0,,,,40.0,,,87.0,4.0,
eme_tudet-ud-test,913,0,6,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,
ab_abnc-ud-test,263,0,79,,1.0,4.0,4.0,2.0,10.0,,,,,,,,1.0,1.0,14.0,,,19.0,,3.0,,,,,,,,,,,,,4.0,,,15.0,,1.0
