Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,advmod:emph,advmod:tmod,amod,appos,aux,case,cc,cc:preconj,ccomp,compound,compound:lvc,compound:prt,conj,cop,dep,det,discourse,dislocated,fixed,flat,flat:foreign,iobj,list,mark,nmod,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:arg,obl:cmpr,obl:lmod,obl:orphan,obl:pmod,obl:prep,obl:tmod,orphan,parataxis,parataxis:insert,punct,reparandum,root,xcomp
fi_ood-ud-test,2122,0,64,,,,,,,,,,,63.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-test,18459,0,29173,,,,,,,,,,,29048.0,,,,,,,,,,,,,,,,,,,121.0,,,,,,,2.0,,,,,,,,,,,,2.0,,
de_hdt-ud-train,153035,0,248917,,,,2.0,,,,,,,247809.0,,,,,,,2.0,,,,,,,,,,,,1076.0,,,,,,1.0,15.0,,,,,,,,,,,,8.0,4.0,
de_hdt-ud-dev,18434,0,28515,,,,,,,,,,,28387.0,,,,,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,2.0,,
sga_dipsgg-ud-test,64,0,41,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
ar_nyuad-ud-train,15789,0,46533,,,,,11.0,,,61.0,,,45826.0,5.0,,19.0,3.0,,,,3.0,,4.0,,,,10.0,,44.0,,15.0,77.0,78.0,,25.0,,28.0,259.0,,,,,,,,,,,,53.0,,,12.0
ar_nyuad-ud-dev,1986,0,5865,,,,,1.0,,,8.0,,,5777.0,,,3.0,1.0,,,,,,2.0,,,,,,7.0,,4.0,3.0,11.0,,3.0,,2.0,34.0,,,,,,,,,,,,8.0,,1.0,
ar_nyuad-ud-test,1963,0,5777,,,,,3.0,,,5.0,,1.0,5694.0,1.0,,3.0,1.0,,,,,,,,,,2.0,,8.0,,1.0,13.0,10.0,,1.0,,3.0,23.0,,,,,,,,,,,,6.0,,,2.0
pl_pdb-ud-test,2215,0,3517,,,,,3.0,41.0,,,,,3408.0,1.0,,,,,,,,1.0,,,,50.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,29806,,,1.0,,50.0,398.0,,,2.0,,28850.0,5.0,,,,,,5.0,,4.0,,,,415.0,,,,,69.0,1.0,,,,,,,,,1.0,,3.0,,,,,,2.0,,,,
pl_pdb-ud-dev,2215,0,3741,,,,,11.0,37.0,,,,,3631.0,2.0,,,,,,,,,,,,53.0,,,,,5.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
kmr_mg-ud-train,20,0,25,,,,,,,,,,,23.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
kmr_mg-ud-test,734,0,1041,,,,,5.0,,,,,,901.0,,,,,3.0,,,,,,,,119.0,,,,,8.0,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,
la_circse-ud-test,1263,0,317,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,5,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,1091,,,,,,,,,,,1082.0,,,,,,,1.0,,,,,,5.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,1184,,,,,,,,,,,1168.0,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,5827,,,,,,,,,,,5795.0,,,,,,,,,,,,,30.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
et_ewt-ud-train,5444,0,232,,,,,,,,,,,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
et_ewt-ud-test,913,0,34,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,12,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,1688,,,,,1.0,1.0,,,,,1659.0,,,,,,,,,,,,,14.0,8.0,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,1196,,,,,35.0,,,,,,924.0,,,,1.0,,,,,,,1.0,,22.0,,,,,210.0,,,,,,,,,,,,,,,,,,,,,3.0,
gl_treegal-ud-test,400,0,818,,,,,12.0,,,,,,637.0,,,,2.0,,,2.0,,,,,,16.0,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-test,1052,0,2096,,,,,12.0,,2.0,,,,1897.0,,,,2.0,,,,,,,,,72.0,,,1.0,,98.0,4.0,,,,,,,,,,,,7.0,,,,1.0,,,,,
ro_nonstandard-ud-dev,1052,0,1887,,,,,4.0,,2.0,,,,1634.0,1.0,,,4.0,,,1.0,,,,,,96.0,,,,,138.0,3.0,,,,,,,,,,,,4.0,,,,,,,,,
ro_nonstandard-ud-train,24121,0,62997,,14.0,,,4.0,,10.0,,,,55906.0,,,,24.0,,,3.0,,,1.0,,,2161.0,,,,,4606.0,104.0,,2.0,3.0,,,1.0,10.0,,,,,138.0,,,,1.0,,,,4.0,5.0
ro_simonero-ud-test,491,0,1977,,,,,64.0,,,5.0,,,1781.0,,,,,,,1.0,,,,,,62.0,,,,,27.0,1.0,,,,,,,,,,,,,,,,,,36.0,,,
ro_simonero-ud-train,3747,0,16619,,,,1.0,527.0,,,26.0,3.0,,14464.0,,,,1.0,,,14.0,,1.0,1.0,,,678.0,1.0,,,,357.0,6.0,,,,,,1.0,6.0,,,,,,,,,,,529.0,,1.0,2.0
ro_simonero-ud-dev,443,0,2075,,1.0,,,78.0,,,3.0,,,1851.0,,,,,,,1.0,,,,,,84.0,,,,,24.0,,,,,,,,2.0,,,,,,,,,,,31.0,,,
si_stb-ud-test,100,0,2,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,477,,,,,16.0,,1.0,,,,411.0,,,,2.0,,,,,,,,,19.0,,,,,26.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,
ar_padt-ud-dev,909,0,2937,,,,,,,,,,,2728.0,11.0,,,,,,1.0,,2.0,,,,85.0,,,,,99.0,1.0,,,,,,,8.0,,,,,,,,1.0,,,,,1.0,
ar_padt-ud-train,6075,0,22196,,,,1.0,,,,,1.0,,20772.0,95.0,,,,,,14.0,,8.0,,,1.0,569.0,,,,,644.0,18.0,,,15.0,,,,41.0,,,,,,,,3.0,3.0,,,,1.0,10.0
ar_padt-ud-test,680,0,3004,,,,,,,,,,,2809.0,9.0,,,,,,1.0,,,,,,62.0,,,,,111.0,2.0,,,1.0,,,,6.0,,,,,,,,,,,,,1.0,2.0
lt_alksnis-ud-test,684,0,439,,,,,,,,,,,432.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,402,,,,,,,,,,,397.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,1490,,,,,,,,,1.0,,1475.0,,,,,,,,,,,,,,,,,,12.0,2.0,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,143,,,,,1.0,,,,,,118.0,,,,,,,,,,,11.0,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,9.0,,,,,
hy_bsut-ud-test,595,0,52,,,,,,,,,,,48.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,88,,,,,,,,,,,80.0,,,,,2.0,,,,,,3.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,2,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,288,,,1.0,,,,,,,,273.0,,,,,,,2.0,,,,,,7.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,
fi_tdt-ud-test,1555,0,26,,,,,,,,,,,25.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
